Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
04/27/2022,03/01/2022,03/31/2022,By Month,2022,3,Rhode Island,Place of death unknown,0,0,0,0,0,0,
04/27/2022,04/01/2022,04/23/2022,By Month,2022,4,Rhode Island,Total - All Places of Death,11,389,12,,0,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2022,04/23/2022,By Month,2022,4,Rhode Island,"Healthcare setting, inpatient",,60,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2022,04/23/2022,By Month,2022,4,Rhode Island,"Healthcare setting, outpatient or emergency room",0,28,0,0,0,0,
04/27/2022,04/01/2022,04/23/2022,By Month,2022,4,Rhode Island,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
04/27/2022,04/01/2022,04/23/2022,By Month,2022,4,Rhode Island,Decedent's home,,114,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2022,04/23/2022,By Month,2022,4,Rhode Island,Hospice facility,,59,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2022,04/23/2022,By Month,2022,4,Rhode Island,Nursing home/long term care facility,,102,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2022,04/23/2022,By Month,2022,4,Rhode Island,Other,0,26,0,0,0,0,
04/27/2022,04/01/2022,04/23/2022,By Month,2022,4,Rhode Island,Place of death unknown,0,0,0,0,0,0,
04/27/2022,01/01/2020,01/31/2020,By Month,2020,1,South Carolina,Total - All Places of Death,0,4703,280,0,50,330,
04/27/2022,01/01/2020,01/31/2020,By Month,2020,1,South Carolina,"Healthcare setting, inpatient",0,1343,194,0,36,230,
04/27/2022,01/01/2020,01/31/2020,By Month,2020,1,South Carolina,"Healthcare setting, outpatient or emergency room",0,328,15,0,,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,01/31/2020,By Month,2020,1,South Carolina,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,01/31/2020,By Month,2020,1,South Carolina,Decedent's home,0,1745,26,0,,35,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,01/31/2020,By Month,2020,1,South Carolina,Hospice facility,0,418,18,0,,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,01/31/2020,By Month,2020,1,South Carolina,Nursing home/long term care facility,0,626,26,0,0,26,
04/27/2022,01/01/2020,01/31/2020,By Month,2020,1,South Carolina,Other,0,240,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2020,01/31/2020,By Month,2020,1,South Carolina,Place of death unknown,0,0,0,0,0,0,
04/27/2022,02/01/2020,02/29/2020,By Month,2020,2,South Carolina,Total - All Places of Death,0,4313,245,0,50,295,
04/27/2022,02/01/2020,02/29/2020,By Month,2020,2,South Carolina,"Healthcare setting, inpatient",0,1262,172,0,34,206,
04/27/2022,02/01/2020,02/29/2020,By Month,2020,2,South Carolina,"Healthcare setting, outpatient or emergency room",0,282,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,02/01/2020,02/29/2020,By Month,2020,2,South Carolina,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,02/01/2020,02/29/2020,By Month,2020,2,South Carolina,Decedent's home,0,1541,31,0,,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,02/01/2020,02/29/2020,By Month,2020,2,South Carolina,Hospice facility,0,389,17,0,,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,02/01/2020,02/29/2020,By Month,2020,2,South Carolina,Nursing home/long term care facility,0,586,20,0,,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,02/01/2020,02/29/2020,By Month,2020,2,South Carolina,Other,0,252,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,02/01/2020,02/29/2020,By Month,2020,2,South Carolina,Place of death unknown,0,0,0,0,0,0,
04/27/2022,03/01/2020,03/31/2020,By Month,2020,3,South Carolina,Total - All Places of Death,34,4780,293,15,32,344,
04/27/2022,03/01/2020,03/31/2020,By Month,2020,3,South Carolina,"Healthcare setting, inpatient",29,1279,179,14,24,218,
04/27/2022,03/01/2020,03/31/2020,By Month,2020,3,South Carolina,"Healthcare setting, outpatient or emergency room",,293,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2020,03/31/2020,By Month,2020,3,South Carolina,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2020,03/31/2020,By Month,2020,3,South Carolina,Decedent's home,,1887,39,,,44,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2020,03/31/2020,By Month,2020,3,South Carolina,Hospice facility,0,404,29,0,,30,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2020,03/31/2020,By Month,2020,3,South Carolina,Nursing home/long term care facility,0,659,34,0,,38,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2020,03/31/2020,By Month,2020,3,South Carolina,Other,0,256,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2020,03/31/2020,By Month,2020,3,South Carolina,Place of death unknown,0,0,0,0,0,0,
04/27/2022,04/01/2020,04/30/2020,By Month,2020,4,South Carolina,Total - All Places of Death,237,4572,342,85,,498,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2020,04/30/2020,By Month,2020,4,South Carolina,"Healthcare setting, inpatient",169,1190,244,70,,345,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2020,04/30/2020,By Month,2020,4,South Carolina,"Healthcare setting, outpatient or emergency room",,311,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2020,04/30/2020,By Month,2020,4,South Carolina,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2020,04/30/2020,By Month,2020,4,South Carolina,Decedent's home,15,1849,38,,0,50,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2020,04/30/2020,By Month,2020,4,South Carolina,Hospice facility,,315,15,,0,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2020,04/30/2020,By Month,2020,4,South Carolina,Nursing home/long term care facility,32,661,33,,,62,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2020,04/30/2020,By Month,2020,4,South Carolina,Other,,242,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2020,04/30/2020,By Month,2020,4,South Carolina,Place of death unknown,0,0,0,0,0,0,
04/27/2022,05/01/2020,05/31/2020,By Month,2020,5,South Carolina,Total - All Places of Death,291,4694,346,122,,516,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2020,05/31/2020,By Month,2020,5,South Carolina,"Healthcare setting, inpatient",204,1232,259,105,,358,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2020,05/31/2020,By Month,2020,5,South Carolina,"Healthcare setting, outpatient or emergency room",14,304,12,,0,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2020,05/31/2020,By Month,2020,5,South Carolina,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2020,05/31/2020,By Month,2020,5,South Carolina,Decedent's home,,1894,35,,0,40,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2020,05/31/2020,By Month,2020,5,South Carolina,Hospice facility,12,320,14,,,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2020,05/31/2020,By Month,2020,5,South Carolina,Nursing home/long term care facility,51,656,26,,0,71,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2020,05/31/2020,By Month,2020,5,South Carolina,Other,,287,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2020,05/31/2020,By Month,2020,5,South Carolina,Place of death unknown,0,0,0,0,0,0,
04/27/2022,06/01/2020,06/30/2020,By Month,2020,6,South Carolina,Total - All Places of Death,293,4604,330,108,,516,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,06/01/2020,06/30/2020,By Month,2020,6,South Carolina,"Healthcare setting, inpatient",200,1264,242,91,,352,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,06/01/2020,06/30/2020,By Month,2020,6,South Carolina,"Healthcare setting, outpatient or emergency room",13,299,,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,06/01/2020,06/30/2020,By Month,2020,6,South Carolina,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,06/01/2020,06/30/2020,By Month,2020,6,South Carolina,Decedent's home,26,1764,25,,0,46,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,06/01/2020,06/30/2020,By Month,2020,6,South Carolina,Hospice facility,11,372,16,,0,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,06/01/2020,06/30/2020,By Month,2020,6,South Carolina,Nursing home/long term care facility,41,579,38,,0,71,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,06/01/2020,06/30/2020,By Month,2020,6,South Carolina,Other,,323,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,06/01/2020,06/30/2020,By Month,2020,6,South Carolina,Place of death unknown,0,0,0,0,0,0,
04/27/2022,07/01/2020,07/31/2020,By Month,2020,7,South Carolina,Total - All Places of Death,1032,5775,680,434,,1278,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,07/01/2020,07/31/2020,By Month,2020,7,South Carolina,"Healthcare setting, inpatient",675,1805,525,357,,843,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,07/01/2020,07/31/2020,By Month,2020,7,South Carolina,"Healthcare setting, outpatient or emergency room",29,330,17,,0,39,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,07/01/2020,07/31/2020,By Month,2020,7,South Carolina,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,07/01/2020,07/31/2020,By Month,2020,7,South Carolina,Decedent's home,64,2069,41,15,0,90,
04/27/2022,07/01/2020,07/31/2020,By Month,2020,7,South Carolina,Hospice facility,54,397,27,14,0,67,
04/27/2022,07/01/2020,07/31/2020,By Month,2020,7,South Carolina,Nursing home/long term care facility,201,841,62,37,0,226,
04/27/2022,07/01/2020,07/31/2020,By Month,2020,7,South Carolina,Other,,330,,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,07/01/2020,07/31/2020,By Month,2020,7,South Carolina,Place of death unknown,0,0,0,0,0,0,
04/27/2022,08/01/2020,08/31/2020,By Month,2020,8,South Carolina,Total - All Places of Death,1006,5621,689,453,,1242,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,08/01/2020,08/31/2020,By Month,2020,8,South Carolina,"Healthcare setting, inpatient",635,1738,524,366,,793,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,08/01/2020,08/31/2020,By Month,2020,8,South Carolina,"Healthcare setting, outpatient or emergency room",36,340,16,11,0,41,
04/27/2022,08/01/2020,08/31/2020,By Month,2020,8,South Carolina,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,08/01/2020,08/31/2020,By Month,2020,8,South Carolina,Decedent's home,58,1982,36,13,0,81,
04/27/2022,08/01/2020,08/31/2020,By Month,2020,8,South Carolina,Hospice facility,70,427,44,24,0,90,
04/27/2022,08/01/2020,08/31/2020,By Month,2020,8,South Carolina,Nursing home/long term care facility,199,798,64,38,0,225,
04/27/2022,08/01/2020,08/31/2020,By Month,2020,8,South Carolina,Other,,334,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,08/01/2020,08/31/2020,By Month,2020,8,South Carolina,Place of death unknown,0,0,0,0,0,0,
04/27/2022,09/01/2020,09/30/2020,By Month,2020,9,South Carolina,Total - All Places of Death,601,5024,487,269,,819,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2020,09/30/2020,By Month,2020,9,South Carolina,"Healthcare setting, inpatient",392,1529,368,221,,539,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2020,09/30/2020,By Month,2020,9,South Carolina,"Healthcare setting, outpatient or emergency room",18,293,,,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2020,09/30/2020,By Month,2020,9,South Carolina,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2020,09/30/2020,By Month,2020,9,South Carolina,Decedent's home,26,1869,29,,0,51,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2020,09/30/2020,By Month,2020,9,South Carolina,Hospice facility,41,398,34,16,0,59,
04/27/2022,09/01/2020,09/30/2020,By Month,2020,9,South Carolina,Nursing home/long term care facility,118,641,42,25,0,135,
04/27/2022,09/01/2020,09/30/2020,By Month,2020,9,South Carolina,Other,,290,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2020,09/30/2020,By Month,2020,9,South Carolina,Place of death unknown,0,0,0,0,0,0,
04/27/2022,10/01/2020,10/31/2020,By Month,2020,10,South Carolina,Total - All Places of Death,493,5061,465,235,,723,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2020,10/31/2020,By Month,2020,10,South Carolina,"Healthcare setting, inpatient",342,1461,336,190,,488,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2020,10/31/2020,By Month,2020,10,South Carolina,"Healthcare setting, outpatient or emergency room",16,336,14,,0,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2020,10/31/2020,By Month,2020,10,South Carolina,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2020,10/31/2020,By Month,2020,10,South Carolina,Decedent's home,29,1956,44,,0,65,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2020,10/31/2020,By Month,2020,10,South Carolina,Hospice facility,38,400,35,19,0,54,
04/27/2022,10/01/2020,10/31/2020,By Month,2020,10,South Carolina,Nursing home/long term care facility,67,605,33,14,0,86,
04/27/2022,10/01/2020,10/31/2020,By Month,2020,10,South Carolina,Other,,302,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2020,10/31/2020,By Month,2020,10,South Carolina,Place of death unknown,0,0,0,0,0,0,
04/27/2022,11/01/2020,11/30/2020,By Month,2020,11,South Carolina,Total - All Places of Death,538,5078,507,270,,778,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,11/01/2020,11/30/2020,By Month,2020,11,South Carolina,"Healthcare setting, inpatient",367,1553,380,220,,529,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,11/01/2020,11/30/2020,By Month,2020,11,South Carolina,"Healthcare setting, outpatient or emergency room",19,316,17,,0,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,11/01/2020,11/30/2020,By Month,2020,11,South Carolina,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,11/01/2020,11/30/2020,By Month,2020,11,South Carolina,Decedent's home,32,1887,31,,0,56,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,11/01/2020,11/30/2020,By Month,2020,11,South Carolina,Hospice facility,41,391,38,22,,58,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,11/01/2020,11/30/2020,By Month,2020,11,South Carolina,Nursing home/long term care facility,75,616,37,15,0,97,
04/27/2022,11/01/2020,11/30/2020,By Month,2020,11,South Carolina,Other,,313,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,11/01/2020,11/30/2020,By Month,2020,11,South Carolina,Place of death unknown,0,0,0,0,0,0,
04/27/2022,12/01/2020,12/31/2020,By Month,2020,12,South Carolina,Total - All Places of Death,1178,6052,833,580,,1434,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,12/01/2020,12/31/2020,By Month,2020,12,South Carolina,"Healthcare setting, inpatient",787,2032,664,492,,961,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,12/01/2020,12/31/2020,By Month,2020,12,South Carolina,"Healthcare setting, outpatient or emergency room",43,409,16,10,0,49,
04/27/2022,12/01/2020,12/31/2020,By Month,2020,12,South Carolina,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,12/01/2020,12/31/2020,By Month,2020,12,South Carolina,Decedent's home,102,2141,47,21,0,128,
04/27/2022,12/01/2020,12/31/2020,By Month,2020,12,South Carolina,Hospice facility,81,459,55,31,,106,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,12/01/2020,12/31/2020,By Month,2020,12,South Carolina,Nursing home/long term care facility,152,727,49,24,0,177,
04/27/2022,12/01/2020,12/31/2020,By Month,2020,12,South Carolina,Other,13,282,,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,12/01/2020,12/31/2020,By Month,2020,12,South Carolina,Place of death unknown,0,0,0,0,0,0,
04/27/2022,01/01/2021,01/31/2021,By Month,2021,1,South Carolina,Total - All Places of Death,2107,7197,1023,758,,2373,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2021,01/31/2021,By Month,2021,1,South Carolina,"Healthcare setting, inpatient",1479,2733,814,636,,1658,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2021,01/31/2021,By Month,2021,1,South Carolina,"Healthcare setting, outpatient or emergency room",55,398,20,,0,67,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2021,01/31/2021,By Month,2021,1,South Carolina,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2021,01/31/2021,By Month,2021,1,South Carolina,Decedent's home,177,2369,68,32,0,213,
04/27/2022,01/01/2021,01/31/2021,By Month,2021,1,South Carolina,Hospice facility,143,518,63,45,0,161,
04/27/2022,01/01/2021,01/31/2021,By Month,2021,1,South Carolina,Nursing home/long term care facility,226,796,51,34,0,243,
04/27/2022,01/01/2021,01/31/2021,By Month,2021,1,South Carolina,Other,27,381,,,0,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2021,01/31/2021,By Month,2021,1,South Carolina,Place of death unknown,0,0,0,0,0,0,
04/27/2022,02/01/2021,02/28/2021,By Month,2021,2,South Carolina,Total - All Places of Death,1065,5298,590,405,,1250,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,02/01/2021,02/28/2021,By Month,2021,2,South Carolina,"Healthcare setting, inpatient",740,1829,466,336,0,870,
04/27/2022,02/01/2021,02/28/2021,By Month,2021,2,South Carolina,"Healthcare setting, outpatient or emergency room",24,288,11,,0,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,02/01/2021,02/28/2021,By Month,2021,2,South Carolina,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,02/01/2021,02/28/2021,By Month,2021,2,South Carolina,Decedent's home,90,1845,35,13,0,112,
04/27/2022,02/01/2021,02/28/2021,By Month,2021,2,South Carolina,Hospice facility,87,444,40,29,,98,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,02/01/2021,02/28/2021,By Month,2021,2,South Carolina,Nursing home/long term care facility,112,590,34,20,0,126,
04/27/2022,02/01/2021,02/28/2021,By Month,2021,2,South Carolina,Other,12,298,,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,02/01/2021,02/28/2021,By Month,2021,2,South Carolina,Place of death unknown,0,0,0,0,0,0,
04/27/2022,03/01/2021,03/31/2021,By Month,2021,3,South Carolina,Total - All Places of Death,481,4929,397,196,,683,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2021,03/31/2021,By Month,2021,3,South Carolina,"Healthcare setting, inpatient",342,1526,309,169,,483,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2021,03/31/2021,By Month,2021,3,South Carolina,"Healthcare setting, outpatient or emergency room",,283,,0,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2021,03/31/2021,By Month,2021,3,South Carolina,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2021,03/31/2021,By Month,2021,3,South Carolina,Decedent's home,47,1913,33,,0,72,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2021,03/31/2021,By Month,2021,3,South Carolina,Hospice facility,36,421,27,,0,54,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2021,03/31/2021,By Month,2021,3,South Carolina,Nursing home/long term care facility,43,488,18,,0,52,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2021,03/31/2021,By Month,2021,3,South Carolina,Other,,297,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2021,03/31/2021,By Month,2021,3,South Carolina,Place of death unknown,0,0,0,0,0,0,
04/27/2022,04/01/2021,04/30/2021,By Month,2021,4,South Carolina,Total - All Places of Death,332,4691,288,110,,512,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2021,04/30/2021,By Month,2021,4,South Carolina,"Healthcare setting, inpatient",229,1401,215,88,,358,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2021,04/30/2021,By Month,2021,4,South Carolina,"Healthcare setting, outpatient or emergency room",,241,,0,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2021,04/30/2021,By Month,2021,4,South Carolina,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2021,04/30/2021,By Month,2021,4,South Carolina,Decedent's home,47,1791,36,14,0,69,
04/27/2022,04/01/2021,04/30/2021,By Month,2021,4,South Carolina,Hospice facility,17,429,22,,0,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2021,04/30/2021,By Month,2021,4,South Carolina,Nursing home/long term care facility,25,488,,0,0,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2021,04/30/2021,By Month,2021,4,South Carolina,Other,,340,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2021,04/30/2021,By Month,2021,4,South Carolina,Place of death unknown,0,0,0,0,0,0,
04/27/2022,05/01/2021,05/31/2021,By Month,2021,5,South Carolina,Total - All Places of Death,215,4683,312,100,,428,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2021,05/31/2021,By Month,2021,5,South Carolina,"Healthcare setting, inpatient",148,1359,238,86,,301,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2021,05/31/2021,By Month,2021,5,South Carolina,"Healthcare setting, outpatient or emergency room",,288,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2021,05/31/2021,By Month,2021,5,South Carolina,"Healthcare setting, dead on arrival",,,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2021,05/31/2021,By Month,2021,5,South Carolina,Decedent's home,33,1850,24,,0,52,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2021,05/31/2021,By Month,2021,5,South Carolina,Hospice facility,,380,23,,0,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2021,05/31/2021,By Month,2021,5,South Carolina,Nursing home/long term care facility,16,507,16,0,0,32,
